iter	Passed	Remaining
234	1731	5637
235	1733	5610
236	1734	5583
237	1735	5556
238	1736	5529
239	1737	5503
240	1739	5477
241	1740	5451
242	1741	5425
243	1742	5399
244	1743	5373
245	1744	5348
246	1746	5322
247	1747	5297
248	1748	5272
249	1749	5248
250	1751	5225
251	1752	5202
252	1754	5179
253	1755	5156
254	1757	5133
255	1762	5121
256	1777	5139
257	1791	5152
258	1805	5166
259	1820	5182
260	1835	5195
261	1849	5209
262	1862	5219
263	1877	5233
264	1891	5245
265	1904	5254
266	1915	5257
267	1928	5267
268	1941	5276
269	1958	5294
270	1972	5306
271	1986	5317
272	2000	5326
273	2015	5339
274	2030	5352
275	2042	5359
276	2055	5365
277	2060	5350
278	2062	5330
279	2064	5309
280	2066	5288
281	2068	5266
282	2069	5243
283	2071	5221
284	2072	5199
285	2073	5176
286	2074	5154
287	2076	5132
288	2077	5110
289	2078	5088
290	2079	5067
291	2081	5045
292	2082	5024
293	2083	5003
294	2085	4982
295	2086	4961
296	2087	4941
297	2088	4920
298	2089	4899
299	2091	4879
300	2092	4858
301	2093	4838
302	2094	4818
303	2095	4798
304	2096	4778
305	2098	4758
306	2099	4739
307	2100	4719
308	2101	4700
309	2103	4680
310	2104	4661
311	2105	4642
312	2106	4623
313	2107	4604
314	2109	4586
315	2110	4567
316	2111	4549
317	2112	4531
318	2113	4512
319	2115	4494
320	2116	4476
321	2117	4458
322	2118	4440
323	2119	4422
324	2120	4405
325	2122	4387
326	2123	4369
327	2124	4352
328	2125	4335
329	2126	4318
330	2128	4301
331	2130	4285
332	2131	4269
333	2132	4252
334	2134	4236
335	2135	4219
336	2136	4203
337	2137	4186
338	2138	4170
339	2140	4154
340	2141	4138
341	2142	4121
342	2143	4105
343	2144	4090
344	2145	4074
345	2147	4058
346	2148	4042
347	2149	4027
348	2150	4012
349	2152	3996
350	2153	3982
351	2155	3967
352	2156	3952
353	2157	3937
354	2158	3921
355	2160	3907
356	2161	3892
357	2162	3878
358	2163	3863
359	2164	3848
360	2166	3834
361	2167	3819
362	2168	3805
363	2169	3790
364	2170	3776
365	2172	3762
366	2173	3748
367	2174	3734
368	2175	3720
369	2176	3706
370	2177	3692
371	2178	3678
372	2180	3664
373	2181	3651
374	2182	3638
375	2184	3624
376	2185	3611
377	2186	3597
378	2187	3584
379	2189	3571
380	2190	3558
381	2191	3545
382	2192	3532
383	2194	3519
384	2195	3506
385	2196	3494
386	2197	3481
387	2199	3468
388	2200	3456
389	2201	3443
390	2203	3431
391	2204	3418
392	2205	3406
393	2206	3393
394	2207	3381
395	2209	3369
396	2210	3357
397	2211	3345
398	2212	3333
399	2213	3320
400	2215	3308
401	2216	3296
402	2217	3285
403	2219	3273
404	2220	3262
405	2221	3250
406	2222	3238
407	2224	3227
408	2225	3215
409	2226	3203
410	2227	3192
411	2228	3180
412	2229	3169
413	2230	3157
414	2232	3146
415	2233	3135
416	2235	3124
417	2236	3113
418	2237	3102
419	2238	3091
420	2239	3080
421	2240	3069
422	2242	3058
423	2243	3047
424	2244	3036
425	2245	3025
426	2246	3015
427	2248	3004
428	2249	2993
429	2250	2983
430	2251	2972
431	2253	2962
432	2254	2951
433	2255	2941
434	2256	2930
435	2257	2920
436	2258	2910
437	2260	2899
438	2261	2889
439	2262	2880
440	2264	2870
441	2265	2859
442	2266	2849
443	2267	2839
444	2269	2829
445	2270	2819
446	2271	2810
447	2272	2800
448	2273	2790
449	2274	2780
450	2276	2770
451	2277	2761
452	2278	2751
453	2279	2741
454	2280	2732
455	2282	2722
456	2283	2713
457	2284	2703
458	2285	2694
459	2287	2684
460	2288	2675
461	2289	2666
462	2290	2656
463	2291	2647
464	2293	2638
465	2294	2629
466	2295	2619
467	2296	2610
468	2297	2601
469	2299	2592
470	2300	2583
471	2301	2574
472	2302	2565
473	2304	2556
474	2305	2547
475	2306	2538
476	2307	2529
477	2308	2521
478	2309	2512
479	2310	2503
480	2312	2494
481	2313	2486
482	2314	2477
483	2315	2468
484	2316	2460
485	2318	2451
486	2319	2442
487	2320	2434
488	2321	2425
489	2322	2417
490	2323	2409
491	2325	2400
492	2326	2392
493	2327	2384
494	2328	2375
495	2329	2367
496	2331	2359
497	2332	2350
498	2333	2342
499	2334	2334
500	2335	2326
501	2337	2318
502	2338	2310
503	2339	2302
504	2340	2294
505	2341	2286
506	2342	2278
507	2344	2270
508	2345	2262
509	2346	2254
510	2348	2246
511	2349	2239
512	2360	2241
513	2373	2244
514	2386	2247
515	2400	2252
516	2415	2256
517	2429	2260
518	2441	2262
519	2453	2265
520	2467	2268
521	2481	2272
522	2494	2274
523	2507	2277
524	2520	2280
525	2533	2283
526	2549	2288
527	2562	2290
528	2574	2292
529	2588	2295
530	2600	2296
531	2612	2297
532	2624	2299
533	2636	2300
534	2649	2302
535	2653	2297
536	2656	2290
537	2658	2282
538	2660	2275
539	2661	2267
540	2663	2259
541	2664	2251
542	2665	2243
543	2666	2235
544	2668	2227
545	2669	2219
546	2670	2211
547	2671	2203
548	2672	2195
549	2673	2187
550	2675	2179
551	2676	2172
552	2677	2164
553	2678	2156
554	2679	2148
555	2680	2140
556	2682	2133
557	2683	2125
558	2684	2117
559	2685	2110
560	2687	2102
561	2688	2095
562	2689	2087
563	2690	2080
564	2691	2072
565	2693	2065
566	2694	2057
567	2695	2050
568	2696	2042
569	2698	2035
570	2699	2027
571	2700	2020
572	2701	2013
573	2702	2005
574	2704	1998
575	2705	1991
576	2706	1984
577	2707	1976
578	2708	1969
579	2710	1962
580	2711	1955
581	2712	1948
582	2713	1940
583	2714	1933
584	2716	1926
585	2717	1919
586	2718	1912
587	2719	1905
588	2720	1898
589	2721	1891
590	2723	1884
591	2724	1877
592	2725	1870
593	2726	1863
594	2727	1856
595	2729	1849
596	2730	1843
597	2731	1836
598	2733	1829
599	2734	1823
600	2735	1816
601	2736	1809
602	2738	1802
603	2739	1796
604	2740	1789
605	2741	1782
606	2742	1775
607	2744	1769
608	2745	1762
609	2747	1756
610	2748	1749
611	2749	1743
612	2751	1736
613	2752	1730
614	2753	1723
615	2754	1717
616	2755	1710
617	2757	1704
618	2758	1697
619	2759	1691
620	2760	1684
621	2761	1678
622	2762	1671
623	2764	1665
624	2765	1659
625	2766	1652
626	2768	1646
627	2769	1640
628	2770	1634
629	2771	1627
630	2772	1621
631	2774	1615
632	2775	1609
633	2776	1602
634	2777	1596
635	2778	1590
636	2779	1584
637	2781	1578
638	2782	1571
639	2783	1565
640	2784	1559
641	2786	1553
642	2787	1547
643	2788	1541
644	2789	1535
645	2790	1529
646	2792	1523
647	2793	1517
648	2794	1511
649	2795	1505
650	2796	1499
651	2797	1493
652	2799	1487
653	2800	1481
654	2801	1475
655	2802	1469
656	2803	1463
657	2805	1457
658	2806	1452
659	2807	1446
660	2808	1440
661	2809	1434
662	2810	1428
663	2811	1422
664	2813	1417
665	2814	1411
666	2815	1405
667	2816	1399
668	2817	1394
669	2818	1388
670	2819	1382
671	2821	1376
672	2822	1371
673	2823	1365
674	2824	1359
675	2825	1354
676	2827	1348
677	2828	1343
678	2829	1337
679	2830	1332
680	2831	1326
681	2832	1320
682	2833	1315
683	2835	1309
684	2836	1304
685	2837	1298
686	2838	1293
687	2839	1287
688	2841	1282
689	2842	1276
690	2843	1271
691	2844	1266
692	2845	1260
693	2846	1255
694	2848	1249
695	2849	1244
696	2850	1239
697	2851	1233
698	2852	1228
699	2854	1223
700	2855	1217
701	2856	1212
702	2857	1207
703	2858	1201
704	2859	1196
705	2861	1191
706	2862	1186
707	2863	1181
708	2864	1175
709	2865	1170
710	2867	1165
711	2868	1160
712	2869	1154
713	2870	1149
714	2871	1144
715	2873	1139
716	2874	1134
717	2875	1129
718	2876	1124
719	2878	1119
720	2879	1114
721	2880	1109
722	2881	1103
723	2882	1098
724	2883	1093
725	2884	1088
726	2886	1083
727	2887	1078
728	2888	1073
729	2889	1068
730	2890	1063
731	2891	1058
732	2892	1053
733	2893	1048
734	2894	1043
735	2895	1038
736	2896	1033
737	2898	1028
738	2899	1023
739	2900	1019
740	2901	1014
741	2902	1009
742	2903	1004
743	2905	999
744	2906	994
745	2907	989
746	2908	985
747	2909	980
748	2910	975
749	2911	970
750	2912	965
751	2914	961
752	2915	956
753	2916	951
754	2917	946
755	2918	941
756	2919	937
757	2920	932
758	2921	927
759	2923	923
760	2924	918
761	2925	913
762	2926	909
763	2927	904
764	2932	900
765	2944	899
766	2956	898
767	2971	897
768	2984	896
769	2997	895
770	3009	893
771	3021	892
772	3034	891
773	3046	889
774	3059	888
775	3071	886
776	3083	885
777	3097	883
778	3108	881
779	3121	880
780	3133	878
781	3146	877
782	3159	875
783	3171	873
784	3183	872
785	3196	870
786	3207	868
787	3220	866
788	3231	864
789	3243	862
790	3248	858
791	3251	853
792	3253	849
793	3255	844
794	3257	839
795	3258	835
796	3259	830
797	3261	825
798	3262	820
799	3263	815
800	3264	811
801	3265	806
802	3267	801
803	3268	796
804	3269	791
805	3270	787
806	3271	782
807	3273	777
808	3274	773
809	3275	768
810	3276	763
811	3277	758
812	3278	754
813	3280	749
814	3281	744
815	3282	740
816	3283	735
817	3284	730
818	3286	726
819	3287	721
820	3288	716
821	3289	712
822	3290	707
823	3291	703
824	3293	698
825	3294	693
826	3295	689
827	3296	684
828	3297	680
829	3299	675
830	3300	671
831	3301	666
832	3302	662
833	3303	657
834	3305	653
835	3306	648
836	3307	644
837	3308	639
838	3309	635
839	3311	630
840	3312	626
841	3314	621
842	3319	618
843	3333	616
844	3346	613
845	3359	611
846	3373	609
847	3384	606
848	3395	603
849	3406	601
850	3417	598
851	3429	595
852	3440	592
853	3454	590
854	3467	588
855	3482	585
856	3495	583
857	3511	581
858	3526	578
859	3541	576
860	3554	573
861	3569	571
862	3584	568
863	3595	565
864	3609	563
865	3618	559
866	3633	557
867	3640	553
868	3643	549
869	3645	544
870	3647	540
871	3649	535
872	3650	531
873	3652	526
874	3653	521
875	3654	517
876	3655	512
877	3657	508
878	3658	503
879	3659	499
880	3661	494
881	3662	489
882	3663	485
883	3664	480
884	3666	476
885	3667	471
886	3668	467
887	3669	462
888	3670	458
889	3672	453
890	3673	449
891	3674	444
892	3675	440
893	3677	435
894	3678	431
895	3679	427
896	3680	422
897	3681	418
898	3683	413
899	3684	409
900	3685	404
901	3686	400
902	3688	396
903	3689	391
904	3690	387
905	3691	383
906	3692	378
907	3694	374
908	3695	369
909	3696	365
910	3697	361
911	3699	356
912	3700	352
913	3702	348
914	3703	344
915	3704	339
916	3714	336
917	3727	332
918	3741	329
919	3755	326
920	3770	323
921	3784	320
922	3791	316
923	3805	312
924	3818	309
925	3832	306
926	3845	302
927	3859	299
928	3873	296
929	3886	292
930	3903	289
931	3917	285
932	3930	282
933	3942	278
934	3954	274
935	3966	271
936	3978	267
937	3990	263
938	4001	259
939	4013	256
940	4023	252
941	4035	248
942	4040	244
943	4042	239
944	4044	235
945	4046	230
946	4048	226
947	4049	222
948	4050	217
949	4052	213
950	4053	208
951	4054	204
952	4055	200
953	4057	195
954	4058	191
955	4059	186
956	4060	182
957	4061	178
958	4062	173
959	4064	169
960	4065	164
961	4066	160
962	4067	156
963	4068	151
964	4069	147
965	4071	143
966	4072	138
967	4073	134
968	4074	130
969	4075	126
970	4077	121
971	4078	117
972	4079	113
973	4080	108
974	4081	104
975	4082	100
976	4083	96
977	4084	91
978	4086	87
979	4087	83
980	4089	79
981	4090	74
982	4092	70
983	4093	66
984	4094	62
985	4096	58
986	4097	53
987	4098	49
988	4099	45
989	4100	41
990	4102	37
991	4103	33
992	4104	28
993	4105	24
994	4106	20
995	4108	16
996	4109	12
997	4110	8
998	4111	4
999	4112	0
