iter	RMSE
0	422.2660997
1	419.5266003
2	416.9758172
3	414.6512255
4	411.8653318
5	409.3881384
6	407.0937763
7	404.3043907
8	401.6222831
9	399.0184657
10	396.484653
11	393.9015117
12	391.5338898
13	389.0384064
14	386.6649369
15	384.1456096
16	382.0476546
17	379.7535729
18	377.5075141
19	375.0951613
20	372.7092201
21	370.5580813
22	368.3921038
23	366.0928282
24	364.3316027
25	362.2255267
26	360.284675
27	358.3070744
28	355.9062593
29	353.8601064
30	351.6026219
31	349.6009654
32	347.5075047
33	345.329484
34	343.3396781
35	341.2720578
36	339.3253423
37	337.3699801
38	335.4527685
39	333.4629082
40	331.4202903
41	329.5476976
42	327.5026062
43	325.6224112
44	323.9444388
45	321.9183437
46	320.2492295
47	318.3506186
48	316.8052547
49	315.1424135
50	313.4099713
51	311.6622152
52	310.246427
53	308.5749243
54	307.1348151
55	305.7096047
56	304.3152126
57	302.7118578
58	301.0442287
59	299.388433
60	297.6961429
61	296.1193958
62	294.6578524
63	293.1093043
64	291.5524434
65	289.9321655
66	288.5348675
67	287.0062222
68	285.5387382
69	284.0185195
70	282.3924548
71	281.0371309
72	279.553879
73	278.1778766
74	276.8483327
75	275.6995407
76	274.1126048
77	272.7969778
78	271.5423676
79	270.3335538
80	268.8644682
81	267.5930047
82	266.3126627
83	264.9482816
84	263.6343399
85	262.3800705
86	261.0917308
87	259.7438583
88	258.4159889
89	257.1524655
90	255.8607415
91	254.6763763
92	253.6888831
93	252.381169
94	251.0264538
95	249.8830287
96	248.6122964
97	247.5124295
98	246.4115791
99	245.2057896
100	243.9420498
101	243.0056942
102	241.9896809
103	240.7902473
104	239.5902466
105	238.5069382
106	237.4862827
107	236.4479948
108	235.3996415
109	234.3517789
110	233.3334879
111	232.3998082
112	231.4027059
113	230.3345235
114	229.3880023
115	228.4696377
116	227.5827554
117	226.5317289
118	225.7204655
119	224.7652729
120	223.8600384
121	222.9233226
122	222.0701111
123	221.1412699
124	220.3527744
125	219.6687738
126	218.6734786
127	217.776245
128	216.9437559
129	216.0615891
130	215.1840414
131	214.3344044
132	213.4577612
133	212.6802171
134	211.8779688
135	211.0442393
136	210.1062216
137	209.3048865
138	208.6147732
139	207.7139464
140	206.9879628
141	206.1190877
142	205.4387046
143	204.743858
144	204.1533017
145	203.4969314
146	202.8199296
147	202.049378
148	201.298783
149	200.6839523
150	199.9792904
151	199.3980835
152	198.7866297
153	198.1624463
154	197.515774
155	196.9797545
156	196.1838858
157	195.4853997
158	194.9336858
159	194.2389884
160	193.5313148
161	192.7889413
162	192.1479247
163	191.4637798
164	190.8690799
165	190.284359
166	189.7089679
167	189.0220084
168	188.3887272
169	187.8141138
170	187.2253555
171	186.8260453
172	186.2395618
173	185.6446028
174	185.1167395
175	184.4702182
176	183.79418
177	183.1966257
178	182.6321435
179	182.2212891
180	181.6272563
181	181.1247272
182	180.6407174
183	180.1035863
184	179.559599
185	179.0733008
186	178.552883
187	178.1271673
188	177.6517053
189	177.1921727
190	176.6723574
191	175.999055
192	175.5523572
193	175.001959
194	174.5669872
195	174.1450302
196	173.626573
197	173.2489684
198	172.7881652
199	172.3675807
200	172.0306888
201	171.6502602
202	171.1519479
203	170.621287
204	170.0946341
205	169.6681192
206	169.2698888
207	168.8621003
208	168.3701994
209	167.964777
210	167.4670047
211	167.0348365
212	166.5944466
213	166.1099785
214	165.5704046
215	165.0574081
216	164.7262275
217	164.3514386
218	163.9884544
219	163.6539786
220	163.2319522
221	162.8609668
222	162.4863026
223	162.0608077
224	161.7757311
225	161.4192521
226	161.1460646
227	160.9403293
228	160.5476422
229	160.1401055
230	159.8618227
231	159.5424339
232	159.2006347
233	158.9290376
234	158.6237048
235	158.3408455
236	158.0584499
237	157.7520192
238	157.4656176
239	157.192283
240	156.8234661
241	156.5238113
242	156.1685032
243	155.8722594
244	155.5546942
245	155.231617
246	154.7739158
247	154.4182957
248	154.0682589
249	153.8460665
250	153.5093848
251	153.1285583
252	152.8133734
253	152.5183203
254	152.1398698
255	151.8730179
256	151.6273028
257	151.3136645
258	151.0543229
259	150.7312294
260	150.4970206
261	150.2573314
262	149.9780322
263	149.6986104
264	149.3631665
265	149.0060796
266	148.6700605
267	148.3380112
268	148.0832523
269	147.8075676
270	147.5995505
271	147.3470568
272	147.1747151
273	146.8894054
274	146.5971795
275	146.4465429
276	146.21687
277	145.998647
278	145.7757798
279	145.4865175
280	145.2756775
281	145.0466211
282	144.8343495
283	144.6001497
284	144.4120801
285	144.1873491
286	143.9952869
287	143.6205011
288	143.4221509
289	143.203789
290	142.9575874
291	142.6812464
292	142.5062671
293	142.2456783
294	142.044843
295	141.8724784
296	141.6709198
297	141.5105321
298	141.2853271
299	141.0512062
300	140.8989167
301	140.7287251
302	140.5154125
303	140.3482544
304	140.1184381
305	139.9234362
306	139.7104963
307	139.5488905
308	139.3864956
309	139.2541163
310	139.0486425
311	138.8523165
312	138.7366274
313	138.5594025
314	138.3627899
315	138.1774129
316	137.9921715
317	137.7949633
318	137.6432804
319	137.4560367
320	137.2096552
321	137.05662
322	136.9339362
323	136.770428
324	136.6109956
325	136.4371701
326	136.2388146
327	136.0810937
328	135.9371851
329	135.782668
330	135.6665862
331	135.4572001
332	135.2978289
333	135.1745292
334	135.0868032
335	134.8686842
336	134.7495812
337	134.645191
338	134.4375835
339	134.275318
340	134.172317
341	134.0947155
342	133.96183
343	133.8194267
344	133.5288663
345	133.3260708
346	133.1703797
347	133.0393506
348	132.7823699
349	132.6818099
350	132.557501
351	132.4584091
352	132.3520727
353	132.2041204
354	132.0894247
355	131.9948348
356	131.896464
357	131.7797293
358	131.6593855
359	131.4921906
360	131.3368878
361	131.2693798
362	131.1390139
363	130.9802494
364	130.8290003
365	130.7065616
